date,name,distance_km,elapsed_time,activity_id,start_time
2026-07-24,Furesø Hiking,21.21,4:07:25,23713634084,2026-07-24 08:56:41
2026-07-17,Dragør Hiking,24.6,5:01:20,23630560778,2026-07-17 09:59:11
2025-08-16,Helsingør Hiking,43.27,9:06:09,20083160180,2025-08-16 22:36:04
2025-08-10,Gentofte Hiking,34.23,7:56:04,20016987911,2025-08-10 13:06:25
2025-07-04,Hiking,23.23,6:31:57,19627828400,2025-07-04 06:53:06
2023-11-10,Bornholm Vandring,123.96,24:29:31,12693314867,2023-11-10 16:00:07
2023-11-04,Dragør Vandring,27.85,4:31:33,12595780650,2023-11-04 11:09:25
2023-06-21,Vandring,21.59,7:07:48,12569816018,2023-06-21 08:15:18
2023-05-06,Gladsaxe Vandring,54.25,8:40:47,11058314501,2023-05-06 07:02:21
2022-08-27,Rudersdal Vandring,100.01,17:41:41,9491389291,2022-08-27 13:02:18
2022-03-05,Dragør Vandring,24.33,5:06:34,8402526599,2022-03-05 08:50:05
2022-02-21,Rudersdal Vandring,12.66,2:32:53,8336204198,2022-02-21 19:10:40
2022-01-24,Rudersdal Vandring,13.59,2:46:09,8176293957,2022-01-24 19:12:33
2022-01-13,København Vandring,3.76,0:54:31,8114844762,2022-01-13 17:47:38
2021-11-22,København Vandring,6.83,1:46:51,7858843639,2021-11-22 18:53:28
2021-08-22,Vandring,9.96,5:20:10,7348945840,2021-08-22 09:17:52
2021-07-30,Vordingborg Vandring,5.83,2:15:29,7215850352,2021-07-30 14:03:10
