date,cardio_load_status,cardio_load,strain,tolerance,cardio_load_ratio
2026-07-13,PRODUCTIVE,23.3103,94.373146,86.538605,1.0905324
2026-07-12,MAINTAINING,171.5979,91.043106,92.28663,0.9865254
2026-07-11,MAINTAINING,228.796,77.36446,84.3555,0.9171241
2026-07-10,MAINTAINING,0.0,68.09749,68.30656,0.99693924
2026-07-09,MAINTAINING,66.853,71.56586,76.84488,0.93130296
2026-07-08,MAINTAINING,103.98724,78.272285,78.272285,1.0
2026-07-07,MAINTAINING,66.0676,73.986465,73.986465,1.0
2026-07-06,MAINTAINING,0.0,75.57024,75.57024,1.0
2026-07-05,MAINTAINING,75.8474,94.46279,94.46279,1.0
2026-07-04,MAINTAINING,163.92719,100.66793,100.66793,1.0
2026-07-03,LOAD_STATUS_NOT_AVAILABLE,24.2786,69.0383,-1.0,-1.0
2026-07-02,LOAD_STATUS_NOT_AVAILABLE,113.798,113.798,-1.0,-1.0
2026-07-01,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-30,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-29,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-28,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-27,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-26,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-25,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-24,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-23,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-22,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-21,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-20,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-19,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-18,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-17,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-16,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-15,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-14,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-13,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
2026-06-12,LOAD_STATUS_NOT_AVAILABLE,-1.0,0.0,-1.0,-1.0
