date,steps
2026-08-08,4753
2026-08-07,21554
2026-08-06,17830
2026-08-05,17244
2026-08-04,16551
2026-08-03,20589
2026-08-02,23603
2026-08-01,29622
2026-07-31,13898
2026-07-30,23524
2026-07-29,7754
2026-07-28,23157
2026-07-27,13786
2026-07-26,23123
2026-07-25,29868
2026-07-24,40264
2026-07-23,18664
2026-07-22,12125
2026-07-21,22645
2026-07-20,16046
2026-07-19,13058
2026-07-18,25220
2026-07-17,39842
2026-07-16,21671
2026-07-15,16185
2026-07-14,20373
2026-07-13,12775
2026-07-12,24269
2026-07-11,47168
2026-07-10,10814
2026-07-09,19006
2026-07-08,21867
2026-07-07,16737
2026-07-06,14007
2026-07-05,30760
2026-07-04,36927
2026-07-03,11573
2026-07-02,21096
