date,name,type,distance_km,moving_time,elapsed_time,avg_hr,max_hr,elevation_gain_m,elevation_loss_m,min_elevation_m,max_elevation_m,avg_pace_min_km,max_pace_min_km,avg_cadence,calories,training_load,aerobic_training_effect,anaerobic_training_effect,vo2max_estimate,activity_id,start_time
2026-07-11,Furesø Running,outdoor,21.38,2:07:16,2:10:19,,,238.0,239.0,22.2,47.8,5:57,4:05,152,1986.0,82.1805419921875,3.200000047683716,0.0,,23563760621,2026-07-11 21:21:35
2026-07-09,Copenhagen Running,outdoor,8.15,0:46:55,0:47:22,141.0,160.0,71.0,58.0,11.2,36.8,5:45,4:20,154,657.0,68.873779296875,3.0,0.0,54.0,23540360315,2026-07-09 21:26:01
2026-07-09,Copenhagen Running,outdoor,8.15,0:46:55,0:47:22,141.0,160.0,71.0,58.0,11.2,36.8,5:45,4:20,154,657.0,68.873779296875,3.0,0.0,54.0,23540360315,2026-07-09 21:26:01
2026-07-08,Copenhagen Running,outdoor,9.32,0:54:17,0:55:09,147.0,166.0,80.0,78.0,9.2,36.0,5:49,4:18,155,791.0,88.69268798828125,3.299999952316284,0.0,54.0,23524591680,2026-07-08 16:25:56
2026-07-07,Copenhagen Running,outdoor,6.62,0:33:49,0:33:59,155.0,186.0,50.0,51.0,9.4,18.2,5:06,2:26,162,541.0,152.87966918945312,3.5,2.799999952316284,54.0,23514250146,2026-07-07 19:47:08
2026-07-05,Copenhagen Running,outdoor,12.01,1:05:08,1:05:56,135.0,154.0,24.0,23.0,6.2,17.4,5:25,4:36,159,905.0,84.06990051269531,3.200000047683716,0.0,54.0,23492470480,2026-07-05 21:17:45
2026-07-04,Copenhagen Running,outdoor,18.08,1:53:23,1:54:58,140.0,155.0,55.0,64.0,2.2,16.8,6:16,5:04,152,1464.0,105.90812683105469,3.5,0.0,53.0,23481217090,2026-07-04 21:22:28
2026-07-02,Copenhagen Running,outdoor,13.77,1:20:00,1:22:11,137.0,160.0,64.0,64.0,5.4,19.0,5:48,4:44,151,1088.0,87.08444213867188,3.299999952316284,0.0,54.0,23457896369,2026-07-02 20:18:13
2026-06-30,Copenhagen Running,outdoor,11.73,1:10:15,1:11:01,143.0,169.0,84.0,84.0,11.2,37.8,5:59,3:49,155,967.0,89.004150390625,3.299999952316284,0.5,54.0,23433063474,2026-06-30 18:41:32
2026-06-27,Copenhagen Running,outdoor,15.73,1:15:48,1:16:58,161.0,184.0,70.0,77.0,-3.0,19.4,4:49,3:56,160,1274.0,239.36904907226562,5.0,0.20000000298023224,54.0,23400878129,2026-06-27 22:23:10
2026-06-24,Copenhagen Running,outdoor,11.26,0:58:08,0:58:51,148.0,170.0,24.0,23.0,7.2,19.4,5:09,3:18,157,871.0,124.38043212890625,3.700000047683716,0.30000001192092896,54.0,23368720074,2026-06-24 22:19:08
2026-06-22,Treadmill Running,treadmill,3.45,0:32:57,0:42:27,,,,,,,9:33,8:43,93,207.0,9.056045532226562,0.8999999761581421,0.0,,23353088798,2026-06-22 21:10:38
2026-06-20,Copenhagen Running,outdoor,12.58,1:10:14,1:11:41,156.0,179.0,96.0,92.0,7.0,35.8,5:35,3:19,156,1080.0,130.8958740234375,3.799999952316284,0.4000000059604645,53.0,23321556833,2026-06-20 21:20:28
2026-06-12,Bornholm Running,outdoor,3.8,0:22:34,0:23:02,138.0,158.0,35.0,25.0,-0.6,28.4,5:56,5:03,157,316.0,33.61875915527344,2.200000047683716,0.0,54.0,23219878639,2026-06-12 08:51:09
2026-06-08,Reykjavik Running,outdoor,44.01,4:19:35,4:41:04,155.0,182.0,442.0,425.0,-1.6,172.4,5:53,3:01,142,3803.0,354.84869384765625,5.0,0.5,54.0,23181450100,2026-06-08 18:51:46
2026-06-07,Running,outdoor,10.65,0:57:02,0:58:05,153.0,172.0,71.0,64.0,-106.6,-75.0,5:21,2:44,160,869.0,113.09629821777344,3.5,0.20000000298023224,,23161902888,2026-06-07 11:51:10
2026-05-31,Treadmill Running,treadmill,7.75,1:09:12,1:24:28,,,,,,,8:55,8:12,100,455.0,0.0,0.0,0.0,,23083668816,2026-05-31 18:55:47
2026-05-30,Running,outdoor,14.83,1:25:33,1:31:13,152.0,179.0,112.0,101.0,-22.4,7.6,5:46,2:32,150,1290.0,138.5833282470703,3.700000047683716,0.800000011920929,,23068172637,2026-05-30 13:47:19
