date,name,elapsed_time,duration_min,activity_id,start_time
2026-07-03,Copenhagen Running,1:05:44,65.7,23469555403,2026-07-03 22:16:12
2026-07-03,Copenhagen Running,1:05:44,65.7,23469555403,2026-07-03 22:16:12
2026-07-03,Copenhagen Running,1:05:44,65.7,23469555403,2026-07-03 22:16:12
2026-07-01,Functional Fitness,1:05:09,65.2,23446549147,2026-07-01 20:33:04
2026-06-29,Functional Fitness,1:23:56,83.9,23422860025,2026-06-29 21:36:18
2026-06-22,Functional Fitness,0:31:45,31.8,23353087624,2026-06-22 20:36:35
2026-06-16,Functional Fitness,1:03:54,63.9,23273744689,2026-06-16 19:00:51
2026-06-02,Functional Fitness,14:35:49,875.8,23160812986,2026-06-02 22:04:20
2026-06-01,Functional Fitness,0:43:01,43.0,23096046784,2026-06-01 21:31:40
2026-05-21,Functional Fitness,0:39:52,39.9,22960054325,2026-05-21 15:02:20
2026-05-18,Functional Fitness,0:44:34,44.6,22927144715,2026-05-18 19:34:38
2026-05-13,Functional Fitness,1:14:40,74.7,22871501037,2026-05-13 21:05:49
2026-05-11,Functional Fitness,0:27:37,27.6,22846678197,2026-05-11 20:31:21
2026-05-05,Functional Fitness,1:08:04,68.1,22778183491,2026-05-05 22:00:32
2026-05-01,Functional Fitness,1:37:00,97.0,22721848941,2026-05-01 08:22:01
2026-04-28,Functional Fitness,0:53:05,53.1,22689670973,2026-04-28 14:27:02
2026-04-24,Functional Fitness,0:40:35,40.6,22641521559,2026-04-24 13:11:22
2026-04-21,Functional Fitness,1:01:49,61.8,22606819681,2026-04-21 15:42:03
2026-04-17,Functional Fitness,0:42:32,42.5,22563931067,2026-04-17 23:24:27
2026-04-13,Functional Fitness,1:02:30,62.5,22514845010,2026-04-13 20:14:13
2026-04-05,Functional Fitness,0:58:12,58.2,22420024158,2026-04-05 20:19:41
2026-04-02,Functional Fitness,0:53:16,53.3,22380054071,2026-04-02 09:50:18
2026-03-30,Functional Fitness,1:11:18,71.3,22369406626,2026-03-30 21:28:05
2026-03-25,Functional Fitness,1:38:10,98.2,22312762929,2026-03-25 08:32:20
2026-03-13,Functional Fitness,0:53:19,53.3,22172843604,2026-03-13 06:37:51
2026-03-11,Functional Fitness,0:47:33,47.6,22172842033,2026-03-11 06:28:56
2026-03-09,Functional Fitness,0:38:57,39.0,22110795183,2026-03-09 06:23:03
2026-03-02,Functional Fitness,0:48:39,48.7,22038437615,2026-03-02 18:31:30
2026-02-26,Functional Fitness,0:50:43,50.7,21997251266,2026-02-26 21:20:27
2026-02-24,Functional Fitness,0:53:05,53.1,21965864691,2026-02-24 06:14:56
2026-02-22,Functional Fitness,1:01:26,61.4,21949896099,2026-02-22 14:27:54
2026-02-18,Functional Fitness,1:02:43,62.7,21949895717,2026-02-18 19:31:33
2026-02-06,Functional Fitness,0:44:31,44.5,21779595098,2026-02-06 06:30:29
2026-02-04,Functional Fitness,1:24:43,84.7,21764938541,2026-02-04 18:02:51
2026-01-28,Functional Fitness,0:32:28,32.5,21691028382,2026-01-28 14:44:21
2026-01-14,Functional Fitness,0:48:24,48.4,21546625161,2026-01-14 17:22:44
2026-01-13,Functional Fitness,1:24:21,84.4,21537538252,2026-01-13 19:49:42
2025-12-31,Functional Fitness,1:02:14,62.2,21401527751,2025-12-31 11:50:39
2025-12-29,Functional Fitness,0:57:46,57.8,21383673142,2025-12-29 14:39:24
2025-12-27,Functional Fitness,0:50:41,50.7,21366687998,2025-12-27 17:29:06
2025-12-24,Functional Fitness,0:51:50,51.8,21339507951,2025-12-24 11:39:17
2025-12-22,Functional Fitness,2:10:18,130.3,21325728951,2025-12-22 18:13:47
2025-12-20,Functional Fitness,1:30:48,90.8,21304614661,2025-12-20 09:44:59
2025-12-17,Functional Fitness,1:21:00,81.0,21280462430,2025-12-17 11:53:31
2025-11-29,Functional Fitness,0:41:25,41.4,21145506940,2025-11-29 20:38:13
2025-11-28,Functional Fitness,1:08:51,68.9,21145506616,2025-11-28 14:39:47
2025-11-23,Functional Fitness,0:56:19,56.3,21075000277,2025-11-23 21:40:18
2025-11-13,Functional Fitness,1:49:26,109.4,20975856831,2025-11-13 15:52:44
2025-11-09,Functional Fitness,0:46:20,46.3,20934924098,2025-11-09 13:11:15
2025-10-30,Functional Fitness,0:40:44,40.7,20838646288,2025-10-30 09:12:40
2025-10-20,Functional Fitness,1:30:26,90.4,20747871689,2025-10-20 18:27:43
2025-10-18,Functional Fitness,0:35:04,35.1,20729687807,2025-10-18 20:32:32
2025-10-07,Functional Fitness,1:38:31,98.5,20617347255,2025-10-07 16:02:10
2025-10-01,Functional Fitness,0:58:10,58.2,20559419987,2025-10-01 18:01:55
2025-09-26,Functional Fitness,1:01:23,61.4,20504092075,2025-09-26 08:32:12
2025-09-24,Functional Fitness,1:03:05,63.1,20488968715,2025-09-24 18:33:00
2025-09-17,Functional Fitness,0:40:50,40.8,20416441976,2025-09-17 18:17:34
2025-09-12,Functional Fitness,0:43:19,43.3,20376144736,2025-09-12 21:25:33
2025-09-08,Functional Fitness,0:46:33,46.6,20324180781,2025-09-08 21:00:07
2025-08-30,Functional Fitness,0:56:49,56.8,20225629614,2025-08-30 14:44:23
2025-08-28,Functional Fitness,0:52:51,52.9,20209125818,2025-08-28 20:04:53
2025-08-25,Functional Fitness,0:50:48,50.8,20174660044,2025-08-25 18:09:54
2025-08-22,Functional Fitness,2:04:33,124.6,20137735758,2025-08-22 06:00:09
2025-08-21,Functional Fitness,0:58:04,58.1,20126928942,2025-08-21 06:02:11
